tavg,tx,tn,rhavg,rhx,rhn,td,ddavg,ffavg,rr,lwavg,pavg,gSunRadavg,tgavg_5_cm,tgavg_10_cm,tgavg_30_cm,smavg_10_cm,smavg_30_cm,tavg50,tx50,tn50
4.2,4.2,4.2,100.0,100.0,100.0,4.2,295.1,5.1,0.4,8,,,,,,,,,,
4.2,4.2,4.1,100.0,100.0,100.0,4.2,321.7,4.3,0.2,8,,,,,,,,,,
4.1,4.1,4.1,100.0,100.0,100.0,4.1,313.1,3.0,0.4,7,,,,,,,,,,
4.1,4.1,4.1,100.0,100.0,100.0,4.1,296.8,3.2,0.4,8,,,,,,,,,,
4.0,4.1,4.0,100.0,100.0,100.0,4.0,279.1,3.7,0.8,7,,,,,,,,,,
4.0,4.0,4.0,100.0,100.0,100.0,4.0,312.3,4.7,1.2,7,,,,,,,,,,
3.9,4.0,3.9,100.0,100.0,100.0,3.9,280.7,5.7,0.8,7,,,,,,,,,,
3.8,3.9,3.7,100.0,100.0,100.0,3.8,319.2,8.3,1.2,6,,,,,,,,,,
3.6,3.7,3.4,100.0,100.0,100.0,3.6,335.3,8.6,1.4,6,,,,,,,,,,
3.4,3.5,3.3,100.0,100.0,100.0,3.4,358.0,7.7,1.0,7,,,,,,,,,,
3.1,3.3,3.0,100.0,100.0,100.0,3.1,358.2,5.6,1.2,7,,,,,,,,,,
2.9,3.0,2.8,100.0,100.0,100.0,2.9,307.5,6.0,1.0,6,,,,,,,,,,
2.6,2.8,2.5,100.0,100.0,100.0,2.6,349.6,6.6,0.4,7,,,,,,,,,,
2.4,2.4,2.3,100.0,100.0,100.0,2.4,341.1,7.8,0.4,7,,,,,,,,,,
2.2,2.3,2.1,100.0,100.0,100.0,2.2,341.9,6.8,0.6000000000000001,8,,,,,,,,,,
2.0,2.1,2.0,100.0,100.0,100.0,2.0,5.4,9.5,0.2,8,,,,,,,,,,
1.9,2.0,1.8,100.0,100.0,100.0,1.9,356.9,9.3,0.2,9,,,,,,,,,,
1.7000000000000002,1.8,1.6,100.0,100.0,100.0,1.7000000000000002,335.4,7.4,0.0,9,,,,,,,,,,
1.6,1.6,1.5,100.0,100.0,100.0,1.6,12.8,6.6,0.0,9,,,,,,,,,,
1.5,1.6,1.4,100.0,100.0,100.0,1.5,346.1,7.8,0.2,9,,,,,,,,,,
1.3,1.5,1.2,100.0,100.0,100.0,1.3,348.0,5.8,0.2,9,,,,,,,,,,
1.2,1.3,1.1,100.0,100.0,100.0,1.2,358.7,5.6,0.0,9,,,,,,,,,,
